"Allegany","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","2","2","0","0","3","0","7","0","COUNTY TRANSFER - OUT","7","5","0","0","5","1","18"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","2","7","0","0","1","0","10"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","29","21","0","0","0","0","50"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","29","34","0","0","20","0","83"
"IN PERSON","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","27","29","1","0","24","2","83","23","MOVED OUT OF STATE","3","5","0","0","2","0","10"
"NVRA BY MAIL","4","1","0","0","0","0","5","0","OTHER","1","1","0","0","0","0","2"
"OTHER MEANS","0","0","0","0","0","0","0","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","40","47","1","0","25","0","113"
"SOCIAL SERVICES","1","0","0","0","1","0","2","0","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","1","0","","","","","","","",""
"TOTAL","34","33","1","0","28","2","98","23","TOTAL","111","120","1","0","53","1","286"
