"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","7","0","0","0","1","0","8","2","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","193","73","4","1","77","6","354","39","COUNTY TRANSFER-OUT","539","149","5","2","93","6","794"
"DESIGNATED STATE AGENCIES","6","6","0","0","3","0","15","4","CRIMINAL CONVICTION","16","3","0","0","0","0","19"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","215","81","0","0","15","3","314"
"FROM ANOTHER BOARD","11","14","0","0","0","2","27","3","DUPLICATE","7","2","0","0","1","0","10"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","17","7","0","0","6","0","30"
"IN PERSON","4","7","0","0","2","0","13","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","933","355","2","15","446","20","1,771","64","MOVED OUT OF STATE","62","40","0","0","29","1","132"
"NVRA BY MAIL","29","11","0","0","15","1","56","0","OTHER","11","2","0","1","3","0","17"
"OTHER MEANS","10","5","1","0","7","0","23","190","VOTER REQUEST","0","1","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","8","0","0","0","0","0","8"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","9","2","0","0","3","1","15","0","","","","","","","",""
"TOTAL","1,202","473","7","16","554","30","2,282","302","TOTAL","875","285","5","3","147","10","1,325"
