"Cecil","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","12","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","15","16","0","0","0","15","0","46","32","COUNTY TRANSFER - OUT","8","7","1","0","0","4","1","21"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","1","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","1","DEATH NOTICE","42","23","0","0","0","8","1","74"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","5","0","0","0","0","2","0","7"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","5","MAIL VERIFICATION (NVRA)","4","1","0","0","0","2","0","7"
"IN PERSON","0","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","43","36","1","1","1","48","0","130","21","MOVED OUT OF STATE","3","3","0","0","0","2","0","8"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","3","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","3","0","0","0","0","2","0","5","159","VOTER REQUEST","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","61","52","1","1","1","65","0","181","234","TOTAL","63","34","1","0","0","18","2","118"
