"Caroline","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","6","1","0","0","0","1","0","8","1","COUNTY TRANSFER - OUT","9","8","0","0","0","4","0","21"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","5","3","0","0","0","2","0","10"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","2","0","0","0","0","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","4","3","0","0","0","1","0","8","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","17","10","1","0","2","15","0","45","6","MOVED OUT OF STATE","3","1","0","0","0","0","0","4"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","OTHER","1","1","0","0","0","0","0","2"
"OTHER MEANS","0","1","0","0","0","0","0","1","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","0","0","0","0","0","0","1","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","28","15","1","0","2","17","0","63","7","TOTAL","20","13","0","0","0","6","0","39"
