"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","131","46","1","0","0","60","2","240","27","COUNTY TRANSFER - OUT","209","73","1","0","2","76","0","361"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","1","DEATH NOTICE","145","77","0","0","0","42","0","264"
"FROM ANOTHER BOARD","1","0","0","0","0","0","2","3","4","DUPLICATE","14","4","0","0","0","11","0","29"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","87","154","0","1","1","43","0","286"
"IN PERSON","4","0","0","0","0","2","0","6","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","716","216","5","1","5","521","12","1,476","156","MOVED OUT OF STATE","152","80","0","1","0","86","0","319"
"NVRA BY MAIL","0","1","0","0","0","1","0","2","1","OTHER","3","0","1","0","0","2","0","6"
"OTHER MEANS","7","2","0","0","0","4","0","13","4","VOTER REQUEST","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","0","0","0","0","0","0","1","2","","","","","","","","",""
"VOLUNTEER","12","3","0","0","1","4","0","20","0","","","","","","","","",""
"TOTAL","872","269","6","1","6","592","16","1,762","196","TOTAL","611","388","2","2","3","260","0","1,266"
