"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","1","0","1"
"BY MAIL","16","14","0","0","0","15","0","45","3","COUNTY TRANSFER - OUT","44","42","1","0","0","17","1","105"
"DESIGNATED STATE AGENCIES","2","1","0","0","0","0","0","3","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","65","30","0","0","0","7","1","103"
"FROM ANOTHER BOARD","1","1","0","0","0","0","0","2","1","DUPLICATE","1","1","0","0","0","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","340","268","3","1","4","155","4","775"
"IN PERSON","0","1","0","0","0","1","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","147","139","0","1","4","150","3","444","36","MOVED OUT OF STATE","16","30","0","0","0","13","0","59"
"NVRA BY MAIL","5","10","0","0","0","6","0","21","2","OTHER","20","13","0","0","0","14","0","47"
"OTHER MEANS","0","0","0","0","0","1","0","1","1","VOTER REQUEST","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","10","11","0","0","1","6","0","28"
"SOCIAL SERVICES","0","0","0","0","0","1","0","1","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","171","166","0","1","4","174","3","519","43","TOTAL","497","395","4","1","5","213","6","1,121"
