"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","1","6","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","109","16","1","0","2","34","0","162","102","COUNTY TRANSFER - OUT","304","63","3","0","5","59","10","444"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","1","0","1","1","CRIMINAL CONVICTION","1","0","0","0","0","0","0","1"
"ELDERLY / DISABLED","2","0","0","0","0","0","0","2","0","DEATH NOTICE","156","34","0","0","0","4","5","199"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","1","30","DUPLICATE","120","9","0","0","0","12","14","155"
"PROVISIONAL BALLOT","7","0","0","0","0","0","0","7","65","MAIL VERIFICATION (NVRA)","26","3","0","0","0","7","1","37"
"IN PERSON","2","2","0","0","0","1","0","5","4","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","1,169","118","5","0","4","377","6","1,679","137","MOVED OUT OF STATE","19","4","0","0","1","2","2","28"
"NVRA BY MAIL","1","0","0","0","0","1","0","2","0","OTHER","5","1","1","0","0","7","0","14"
"OTHER MEANS","24","1","0","0","0","6","1","32","3,264","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","0","0","0","0","0","0","2"
"SOCIAL SERVICES","12","0","0","0","0","1","0","13","42","","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","1","0","2","0","","","","","","","","",""
"TOTAL","1,329","137","6","0","6","422","7","1,907","3,651","TOTAL","633","114","4","0","6","91","32","880"
