"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","2","0","0","0","2","0","5","1","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","86","73","2","0","1","69","0","231","34","COUNTY TRANSFER - OUT","123","85","0","0","1","57","1","267"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","1","0","0","0","0","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","1","0","0","0","0","0","0","1"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","4","2","0","0","1","0","0","7"
"PROVISIONAL BALLOT","0","0","0","0","0","1","0","1","2","MAIL VERIFICATION (NVRA)","0","0","0","0","0","3","0","3"
"IN PERSON","3","3","0","0","0","2","0","8","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","351","228","4","1","6","325","4","919","163","MOVED OUT OF STATE","2","1","0","0","0","0","0","3"
"NVRA BY MAIL","3","5","0","0","0","1","0","9","1","OTHER","4","0","0","0","0","2","0","6"
"OTHER MEANS","14","6","0","0","0","3","0","23","21","VOTER REQUEST","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","1","0","2"
"SOCIAL SERVICES","2","0","0","0","0","1","0","3","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","1","0","1","0","","","","","","","","",""
"TOTAL","460","317","6","1","7","405","4","1,200","222","TOTAL","137","89","0","0","2","63","1","292"
