"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","0","0","0","0","0","0","3","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","369","78","1","1","2","39","1","491","0","COUNTY TRANSFER-OUT","375","98","1","1","1","73","5","554"
"DESIGNATED STATE AGENCIES","3","0","0","0","0","0","0","3","0","CRIMINAL CONVICTION","24","5","0","0","0","6","0","35"
"ELDERLY / DISABLED","1","0","0","0","0","0","0","1","0","DEATH NOTICE","294","131","0","0","1","31","7","464"
"FROM ANOTHER BOARD","0","1","0","0","0","0","0","1","0","DUPLICATE","17","10","1","0","0","5","0","33"
"PROVISIONAL BALLOT","4","0","0","0","0","0","0","4","0","MAIL VERIFICATION (NVRA)","17","8","0","0","0","4","0","29"
"IN PERSON","7","2","0","0","0","3","0","12","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","697","267","4","3","7","352","8","1,338","64","MOVED OUT OF STATE","36","21","0","0","1","14","0","72"
"NVRA BY MAIL","27","15","1","0","0","3","1","47","0","OTHER","24","4","0","0","0","11","1","40"
"OTHER MEANS","8","3","0","0","0","2","0","13","133","VOTER REQUEST","1","0","0","0","0","1","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","2","0","0","0","0","0","2"
"SOCIAL SERVICES","10","1","0","0","0","11","0","22","2","","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","0","1","0","","","","","","","","",""
"TOTAL","1,129","368","6","4","9","410","10","1,936","199","TOTAL","788","279","2","1","3","145","13","1,231"
