"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","1","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","13","13","0","0","1","13","0","40","8","COUNTY TRANSFER - OUT","19","22","0","0","0","10","0","51"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","0","1","0","CRIMINAL CONVICTION","10","5","0","0","1","3","0","19"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","86","52","0","0","0","14","0","152"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","1","0","DUPLICATE","3","2","0","0","0","2","0","7"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","16","14","0","0","0","6","0","36"
"IN PERSON","1","2","0","0","0","0","0","3","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","71","85","0","0","3","51","0","210","37","MOVED OUT OF STATE","13","22","0","0","0","4","0","39"
"NVRA BY MAIL","6","0","0","0","0","3","0","9","2","OTHER","1","2","0","0","0","1","0","4"
"OTHER MEANS","0","0","0","0","0","0","0","0","1","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","5","0","0","0","0","2","0","7","0","","","","","","","","",""
"VOLUNTEER","2","0","0","0","0","2","0","4","0","","","","","","","","",""
"TOTAL","99","101","0","0","4","71","0","275","50","TOTAL","148","119","0","0","1","40","0","308"
