"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","11","5","0","0","2","0","18","4","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","488","169","1","6","183","12","859","189","CONFIRMATION MAIL","4","4","0","0","2","0","10"
"DESIGNATED STATE AGENCIES","156","34","3","4","85","10","292","76","COUNTY TRANSFER - OUT","2,114","702","16","18","687","14","3,551"
"ELDERLY / DISABLED / SOC SEC","376","74","1","6","144","8","609","2","CRIMINAL CONVICTION","94","25","0","1","35","1","156"
"ERIC REPORT","195","43","1","2","45","0","286","24","DEATH NOTICE","1,762","827","1","4","266","27","2,887"
"FROM ANOTHER BOARD","17","5","1","0","4","1","28","22","DUPLICATE","53","14","0","3","17","8","95"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","3,629","1,629","19","59","1,556","60","6,952"
"IN PERSON","111","25","2","2","34","0","174","7","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","5807","2213","37","115","3173","83","11,428","401","MOVED OUT OF STATE","298","283","2","2","139","10","734"
"NVRA BY MAIL","26","16","0","0","10","0","52","4","OTHER","73","11","1","1","42","1","129"
"ONLINE REGISTRATION","593","145","3","14","200","4","959","28","VOTER REQUEST","6","3","0","1","5","0","15"
"OTHER MEANS","156","24","0","3","63","0","246","163","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","","","","","","","",""
"SOCIAL SERVICES","8","2","0","0","6","0","16","6","","","","","","","",""
"VOLUNTEER","87","30","2","2","28","1","150","0","","","","","","","",""
"TOTAL","8,031","2,785","51","154","3,977","119","15,117","926","TOTAL","8,033","3,498","39","89","2,749","121","14,529"
