"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","31","9","1","0","11","1","53","53","BOARD ACTION","3","1","0","0","1","0","5"
"BY MAIL","260","91","0","3","87","7","448","56","CONFIRMATION MAIL","1","1","0","0","2","0","4"
"DESIGNATED STATE AGENCIES","80","23","1","1","77","7","189","9","COUNTY TRANSFER - OUT","6,338","1,808","42","94","1,739","75","10,096"
"ELDERLY / DISABLED / SOC SEC","951","171","5","12","277","15","1,431","4","CRIMINAL CONVICTION","26","6","0","1","19","0","52"
"ERIC REPORT","2","4","0","0","1","0","7","0","DEATH NOTICE","1,779","889","3","7","309","26","3,013"
"FROM ANOTHER BOARD","2","0","0","0","1","0","3","12","DUPLICATE","26","3","0","0","6","0","35"
"PROVISIONAL BALLOT","6025","1504","30","89","1590","62","9,300","2,012","MAIL VERIFICATION (NVRA)","1,965","707","12","37","871","34","3,626"
"IN PERSON","49","24","0","0","16","1","90","100","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","3351","1715","21","85","2037","33","7,242","117","MOVED OUT OF STATE","521","283","2","4","205","15","1,030"
"NVRA BY MAIL","6","2","0","1","1","0","10","4","OTHER","26","10","0","2","16","0","54"
"ONLINE REGISTRATION","754","273","9","13","382","13","1,444","33","VOTER REQUEST","11","3","0","1","3","1","19"
"OTHER MEANS","104","33","0","0","32","2","171","108","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","","","","","","","",""
"SAME DAY REGISTRATION","1412","302","6","8","344","13","2,085","32","","","","","","","",""
"SOCIAL SERVICES","7","4","0","0","6","0","17","28","","","","","","","",""
"VOLUNTEER","3","0","0","0","1","0","4","0","","","","","","","",""
"TOTAL","13,037","4,155","73","212","4,863","154","22,494","2,568","TOTAL","10,696","3,711","59","146","3,171","151","17,934"
