"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","2","0","4","2","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","163","80","2","2","103","1","351","50","COUNTY TRANSFER - OUT","202","133","3","3","96","1","438"
"DESIGNATED STATE AGENCIES","3","0","0","0","1","0","4","0","CRIMINAL CONVICTION","2","0","0","0","2","0","4"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","441","270","1","0","76","0","788"
"FROM ANOTHER BOARD","2","1","0","0","0","0","3","0","DUPLICATE","0","0","0","0","1","0","1"
"PROVISIONAL BALLOT","0","2","0","0","0","0","2","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","4","1","0","0","6","0","11","1","MENTAL INCOMPETENCY","1","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","591","371","7","11","430","0","1,410","339","MOVED OUT OF STATE","51","75","0","0","33","1","160"
"NVRA BY MAIL","30","20","2","0","24","0","76","5","OTHER","24","14","0","0","24","0","62"
"OTHER MEANS","","","","","","","0","","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","2","0","0","0","0","0","2","0","","","","","","","",""
"VOLUNTEER","2","2","0","0","1","0","5","0","","","","","","","",""
"TOTAL","798","478","11","13","567","1","1,868","397","TOTAL","721","492","4","3","232","2","1,454"
