"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","0","0","2","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","92","82","2","3","87","0","266","15","COUNTY TRANSFER - OUT","47","57","2","1","27","0","134"
"DESIGNATED STATE AGENCIES","7","3","1","0","9","0","20","0","CRIMINAL CONVICTION","3","2","0","0","2","0","7"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","36","23","0","0","10","0","69"
"FROM ANOTHER BOARD","11","8","0","0","5","0","24","4","DUPLICATE","1","1","0","0","1","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1","2","0","0","2","0","5"
"IN PERSON","2","5","1","0","3","0","11","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","258","190","4","6","223","0","681","100","MOVED OUT OF STATE","48","93","0","0","33","0","174"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","3","2","0","0","1","0","6"
"OTHER MEANS","7","3","0","0","4","0","14","3","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","372","476","10","2","252","0","1,112"
"SOCIAL SERVICES","1","0","0","0","1","0","2","0","","","","","","","",""
"VOLUNTEER","13","3","0","1","4","0","21","0","","","","","","","",""
"TOTAL","392","295","8","10","336","0","1,041","124","TOTAL","511","656","12","3","328","0","1,510"
