"Dorchester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","15","4","0","0","3","0","22","1","COUNTY TRANSFER - OUT","6","7","0","0","6","1","20"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","3","1","0","0","0","0","4"
"ELDERLY / DISABLED","1","1","0","0","0","0","2","0","DEATH NOTICE","7","4","0","0","0","0","11"
"FROM ANOTHER BOARD","0","1","0","0","1","0","2","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1","0","0","0","0","0","1"
"IN PERSON","1","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","41","22","0","0","20","1","84","15","MOVED OUT OF STATE","1","3","0","0","1","0","5"
"NVRA BY MAIL","5","1","0","0","0","0","6","0","OTHER","2","1","0","0","0","0","3"
"OTHER MEANS","3","2","0","0","1","0","6","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","1","0","0","1","0","3"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","3","0","0","0","2","0","5","0","","","","","","","",""
"TOTAL","69","31","0","0","27","1","128","16","TOTAL","21","17","0","0","8","1","47"
