"Talbot","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","15","15","0","0","6","0","36","0","COUNTY TRANSFER - OUT","20","15","0","0","2","0","37"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","2","0","0","0","0","0","2"
"FROM ANOTHER BOARD","0","2","0","0","0","0","2","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","2","0","0","0","0","2"
"IN PERSON","1","2","0","0","0","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","40","22","0","1","32","0","95","0","MOVED OUT OF STATE","1","0","0","0","0","0","1"
"NVRA BY MAIL","0","1","0","0","0","0","1","0","OTHER","0","0","0","0","0","0","0"
"OTHER MEANS","0","1","0","0","0","0","1","0","VOTER REQUEST","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","112","97","1","1","38","0","249"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","1","0","","","","","","","",""
"TOTAL","58","43","0","1","38","0","140","0","TOTAL","136","114","1","1","40","0","292"
