"Worcester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","15","31","0","1","8","0","55","6","COUNTY TRANSFER - OUT","16","13","0","0","10","1","40"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","1","0","CRIMINAL CONVICTION","1","1","0","0","0","0","2"
"ELDERLY / DISABLED","1","0","0","0","0","0","1","0","DEATH NOTICE","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","0","1","0","0","0","0","1","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","1","1","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","67","69","0","2","53","1","192","29","MOVED OUT OF STATE","1","2","0","0","0","0","3"
"NVRA BY MAIL","4","0","0","0","4","1","9","0","OTHER","2","0","0","0","2","0","4"
"OTHER MEANS","2","0","0","0","0","0","2","2","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","1","0","0","0","0","1","0","CONFIRMATION MAIL","1","5","0","0","1","0","7"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","91","104","0","3","65","2","265","37","TOTAL","21","21","0","0","13","1","56"
