"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","19","15","0","0","8","0","42","3","COUNTY TRANSFER - OUT","35","31","0","1","15","2","84"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","1","0","0","1","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","17","4","0","0","1","0","22"
"FROM ANOTHER BOARD","16","14","0","0","15","1","46","3","DUPLICATE","0","1","0","0","1","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","2","0","0","0","1","0","3"
"IN PERSON","0","1","0","0","1","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","57","72","0","2","55","4","190","34","MOVED OUT OF STATE","8","5","0","0","1","0","14"
"NVRA BY MAIL","8","5","0","0","4","0","17","0","OTHER","0","2","0","0","2","0","4"
"OTHER MEANS","2","1","0","0","2","0","5","1","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","4","3","0","0","2","0","9"
"SOCIAL SERVICES","0","0","0","0","3","0","3","2","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","102","108","0","2","88","5","305","43","TOTAL","66","47","0","1","24","2","140"
