"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","","","",""
"","DEM","REP","NLM","LIB","GRN","UNAF","OTH","TOTAL","DUPS","","DEM","REP","NLM","LIB","","GRN UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","332","89","1","4","2","111","1","540","59","BOARD ACTION","1","0","0","0","0","0","0","1"
"BY MAIL","1137","343","12","6","0","440","18","1,956","930","CONFIRMATION MAIL","12","2","0","0","0","3","0","17"
"DESIGNATED STATE AGENCIES","263","76","0","0","0","188","13","540","48","COUNTY TRANSFER - OUT","6,769","2,043","14","82","12","2,703","155","11,778"
"ELDERLY / DISABLED / SOC SEC","1477","313","22","13","6","611","20","2,462","2","CRIMINAL CONVICTION","89","20","0","1","0","41","6","157"
"ERIC REPORT","786","325","1","9","2","428","29","1,580","1","DEATH NOTICE","1,878","846","0","4","3","364","35","3,130"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","85","18","0","0","0","27","2","132"
"PROVISIONAL BALLOT","2","0","0","0","0","0","0","2","3","MAIL VERIFICATION (NVRA)","1","0","0","0","0","1","0","2"
"IN PERSON","188","104","3","0","0","83","9","387","37","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","8971","3278","325","152","4","5868","197","18,795","364","MOVED OUT OF STATE","503","183","1","3","0","183","7","880"
"NVRA BY MAIL","89","44","0","0","0","49","0","182","27","OTHER","27","17","1","0","0","18","1","64"
"ONLINE REGISTRATION","5009","2152","155","54","30","2844","88","10,332","9","VOTER REQUEST","320","74","0","1","3","139","4","541"
"OTHER MEANS","247","57","10","0","0","140","5","459","110","","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"SAME DAY REGISTRATION","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","576","196","23","13","2","213","7","1,030","0","","","","","","","","",""
"TOTAL","19,077","6,977","552","251","46","10,975","387","38,265","1,590","TOTAL","9,685","3,203","16","91","18","3,479","210","16,702"
