"Worcester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","4","2","0","0","0","0","0","1","7","1","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","12","16","0","0","0","0","7","2","37","13","COUNTY TRANSFER - OUT","29","43","1","0","0","0","17","1","91"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","7","5","0","0","0","0","1","0","13"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","0","1","0","0","0","0","1","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","25","23","1","0","0","0","8","0","57","51","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","11","22","0","0","0","0","17","1","51","12","MOVED OUT OF STATE","8","9","0","0","0","0","1","0","18"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","1","0","0","0","0","0","1","0","2"
"OTHER MEANS","2","1","0","0","0","0","0","0","3","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","54","64","1","0","0","0","32","4","155","77","TOTAL","45","58","1","0","0","0","21","1","126"
