"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","8","5","0","0","0","0","0","1","14","3","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","19","20","1","0","0","0","4","1","45","4","COUNTY TRANSFER - OUT","29","22","0","0","0","0","18","0","69"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","45","33","0","0","0","0","5","1","84"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","1","DUPLICATE","2","2","0","0","0","0","0","0","4"
"PROVISIONAL BALLOT","73","77","1","0","1","0","17","4","173","2","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","3","5","0","0","0","0","1","0","9","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","61","66","1","0","1","0","45","2","176","18","MOVED OUT OF STATE","9","8","0","0","0","0","9","2","28"
"NVRA BY MAIL","2","1","0","0","0","0","4","1","8","1","OTHER","0","2","0","0","0","0","0","1","3"
"OTHER MEANS","1","0","0","0","0","0","0","0","1","1","VOTER REQUEST","0","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","36","37","0","0","0","0","18","2","93"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","167","174","3","0","2","0","71","9","426","30","TOTAL","121","105","0","0","0","0","50","6","282"
