"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","24","12","0","0","0","0","5","1","42","7","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","36","10","0","0","0","0","19","1","66","5","COUNTY TRANSFER - OUT","454","191","2","0","2","0","169","2","820"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","1","DEATH NOTICE","27","10","0","0","0","0","3","0","40"
"FROM ANOTHER BOARD","4","4","0","0","0","0","0","0","8","0","DUPLICATE","3","3","0","0","0","0","7","0","13"
"PROVISIONAL BALLOT","490","201","6","4","2","1","211","13","928","451","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","2","0","0","0","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","137","27","1","0","1","0","66","2","234","6","MOVED OUT OF STATE","123","63","3","0","0","0","45","1","235"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","17","7","0","0","0","0","15","0","39"
"OTHER MEANS","16","3","0","0","0","0","3","1","23","62","VOTER REQUEST","2","2","0","0","0","0","1","0","5"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","14","5","1","0","0","0","6","1","27"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","709","257","7","4","3","1","304","18","1,303","532","TOTAL","640","281","6","0","2","0","246","4","1,179"
