"Carroll","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","5","0","0","0","0","1","0","9","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","25","36","0","0","0","0","24","0","85","0","COUNTY TRANSFER - OUT","40","53","1","0","0","0","16","0","110"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","1","0","2","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","25","23","0","0","0","0","2","0","50"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","0","1","0","DUPLICATE","1","1","0","0","0","0","0","0","2"
"PROVISIONAL BALLOT","95","96","0","0","2","0","39","0","232","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","7","4","0","0","0","0","5","0","16","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","70","79","1","0","2","0","78","1","231","0","MOVED OUT OF STATE","7","20","1","0","0","0","3","0","31"
"NVRA BY MAIL","1","2","0","0","0","0","1","0","4","0","OTHER","0","0","0","0","0","0","0","0","0"
"OTHER MEANS","1","0","0","0","0","0","0","0","1","0","VOTER REQUEST","2","1","0","0","0","0","0","0","3"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","0","0","1","0","","","","","","","","","",""
"TOTAL","205","222","1","0","4","0","149","1","582","0","TOTAL","75","98","2","0","0","0","21","0","196"
