"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","1","0","0","1","0","4","3","BOARD ACTION","1","0","0","0","0","0","1"
"BY MAIL","1798","618","9","17","842","24","3,308","409","CONFIRMATION MAIL","26","4","0","1","4","0","35"
"DESIGNATED STATE AGENCIES","25","14","0","0","13","1","53","4","COUNTY TRANSFER - OUT","4,452","1,701","21","45","1,863","44","8,126"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","120","28","1","1","41","5","196"
"FROM ANOTHER BOARD","20","4","0","0","4","2","30","22","DEATH NOTICE","1,284","470","0","2","133","9","1,898"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","3","DUPLICATE","42","19","0","1","15","1","78"
"IN PERSON","20","6","0","0","7","0","33","4","MAIL VERIFICATION (NVRA)","10,217","2,666","55","115","3,624","194","16,871"
"MOTOR VEHICLE ADMINISTRATION","9114","3840","79","214","5361","90","18,698","1,413","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"NVRA BY MAIL","33","33","0","0","31","0","97","15","MOVED OUT OF STATE","726","427","1","5","323","23","1,505"
"ONLINE REGISTRATION","295","110","5","9","114","5","538","8","OTHER","37","10","1","0","23","0","71"
"OTHER MEANS","43","38","0","1","30","1","113","983","VOTER REQUEST","10","5","0","0","2","0","17"
"RECRUITING","0","3","0","0","0","0","3","0","","","","","","","","0"
"SOCIAL SERVICES","31","10","0","0","19","0","60","27","","","","","","","",""
"VOLUNTEER","26","4","0","0","15","0","45","0","","","","","","","",""
"TOTAL","11,407","4,681","93","241","6,437","123","22,982","2,891","TOTAL","16,915","5,330","79","170","6,028","276","28,798"
