"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","","","",""
"","DEM","REP","BAR","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","BAR","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","3","0","0","0","0","0","5","6","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","1930","725","0","10","34","761","43","3,503","873","CONFIRMATION MAIL","4,292","3,040","0","39","122","2,473","93","10,059"
"DESIGNATED STATE AGENCIES","258","71","0","3","4","500","12","848","55","COUNTY TRANSFER - OUT","5,728","2,099","0","29","92","2,165","40","10,153"
"ELDERLY / DISABLED / SOC SEC","241","40","0","2","1","933","6","1,223","0","CRIMINAL CONVICTION","147","27","0","1","0","51","4","230"
"ERIC REPORT","6","4","0","0","0","5","0","15","1","DEATH NOTICE","2,192","1,010","0","3","3","324","39","3,571"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","34","11","0","0","0","16","4","65"
"PROVISIONAL BALLOT","38","10","0","1","1","7","0","57","28","MAIL VERIFICATION (NVRA)","2","0","0","0","0","0","0","2"
"IN PERSON","68","18","0","0","1","20","0","107","38","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","8724","3563","0","51","175","4830","88","17,431","486","MOVED OUT OF STATE","710","607","0","6","14","369","13","1,719"
"NVRA BY MAIL","27","14","0","0","0","11","0","52","11","OTHER","59","8","0","2","0","26","2","97"
"ONLINE REGISTRATION","297","93","0","1","6","139","6","542","15","VOTER REQUEST","14","5","0","0","0","10","2","31"
"OTHER MEANS","53","15","0","0","1","14","0","83","94","","","","","","","","",""
"RECRUITING","1","2","0","0","0","0","0","3","1","","","","","","","","",""
"SOCIAL SERVICES","1","0","0","0","0","1","0","2","2","","","","","","","","",""
"VOLUNTEER","12","7","0","0","0","8","0","27","0","","","","","","","","",""
"TOTAL","11,658","4,565","0","68","223","7,229","155","23,898","1,610","TOTAL","13,178","6,807","0","80","231","5,434","197","25,927"
