"","","","","","","","","","","","","","","",""
"SUMMARY","","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","",""
"","","DEM","REP","","BAR UNAF","OTH","TOTAL","DUPS","","DEM","REP","","BAR UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","","38","9","0","5","4","56","32","BOARD ACTION","0","0","0","1","0","1"
"BY MAIL","","530","195","1","205","9","940","846","CONFIRMATION MAIL","6","1","0","6","0","13"
"DESIGNATED STATE AGENCIES","","263","59","0","160","38","520","10","COUNTY TRANSFER - OUT","3,703","1,187","0","1,329","110","6,329"
"ELDERLY / DISABLED / SOC SEC","","668","140","2","237","57","1,104","6","CRIMINAL CONVICTION","102","29","0","33","0","164"
"ERIC REPORT","","5","1","0","2","0","8","12","DEATH NOTICE","1,614","754","0","243","36","2,647"
"FROM ANOTHER BOARD","","0","0","0","0","0","0","0","DUPLICATE","108","31","0","38","3","180"
"PROVISIONAL BALLOT","","187","16","0","13","0","216","10","MAIL VERIFICATION (NVRA)","2","2","0","0","0","4"
"IN PERSON","","69","33","0","14","0","116","29","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","","7074","2829","18","4347","155","14,423","1,212","MOVED OUT OF STATE","187","178","0","126","7","498"
"NVRA BY MAIL","","46","48","0","22","0","116","20","OTHER","20","3","1","6","3","33"
"ONLINE REGISTRATION","","1745","538","2","604","22","2,911","20","VOTER REQUEST","12","10","0","13","0","35"
"OTHER MEANS","","71","20","0","27","2","120","58","","","","","","",""
"RECRUITING","","0","0","0","0","0","0","0","","","","","","",""
"SOCIAL SERVICES","","0","1","0","0","0","1","1","","","","","","",""
"VOLUNTEER","","94","31","0","50","2","177","0","","","","","","",""
"TOTAL","","10,790","3,920","23","5,686","289","20,708","2,256","TOTAL","5,754","2,195","1","1,795","159","9,904"
