"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","4","1","0","0","0","0","5","31","BOARD ACTION","1","1","0","0","2","0","4"
"BY MAIL","3217","1002","17","43","1212","48","5,539","1,253","CONFIRMATION MAIL","20","17","0","0","6","0","43"
"DESIGNATED STATE AGENCIES","35","14","1","1","10","0","61","96","COUNTY TRANSFER - OUT","7,130","2,652","45","105","2,699","69","12,700"
"ELDERLY / DISABLED / SOC SEC","406","116","4","7","180","8","721","8","CRIMINAL CONVICTION","14","2","0","0","7","0","23"
"FROM ANOTHER BOARD","9","3","0","0","1","0","13","23","DEATH NOTICE","922","342","2","4","144","20","1,434"
"PROVISIONAL BALLOT","14","1","0","0","6","0","21","88","DUPLICATE","39","17","0","1","13","5","75"
"IN PERSON","214","61","0","2","61","2","340","1,329","MAIL VERIFICATION (NVRA)","2,523","1,850","24","53","1,787","72","6,309"
"MOTOR VEHICLE ADMINISTRATION","9141","4508","82","226","5181","101","19,239","1,229","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"NVRA BY MAIL","37","14","0","0","21","1","73","14","MOVED OUT OF STATE","758","589","2","10","349","19","1,727"
"ONLINE REGISTRATION","273","94","4","4","102","2","479","81","OTHER","26","8","0","0","8","1","43"
"OTHER MEANS","122","58","0","2","80","3","265","299","VOTER REQUEST","18","10","0","0","7","1","36"
"RECRUITING","1","1","0","0","0","0","2","2","","","","","","","","0"
"SAME DAY REGISTRATION","59","4","0","0","12","0","75","1","","","","","","","",""
"SOCIAL SERVICES","9","5","0","0","10","0","24","7","","","","","","","",""
"VOLUNTEER","109","23","1","0","43","1","177","0","","","","","","","",""
"TOTAL","13,650","5,905","109","285","6,919","166","27,034","4,461","TOTAL","11,451","5,488","73","173","5,022","187","22,394"
