"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","0","0","0","0","0","1","0","3","3","BOARD ACTION","1","0","0","0","0","0","0","0","1"
"BY MAIL","302","72","5","0","6","2","136","5","528","190","COUNTY TRANSFER - OUT","234","119","3","0","8","4","71","3","442"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","0","0","1","0","CRIMINAL CONVICTION","3","0","0","0","0","0","3","0","6"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","1","DEATH NOTICE","97","42","0","0","3","0","20","3","165"
"FROM ANOTHER BOARD","0","0","0","0","0","0","1","0","1","3","DUPLICATE","3","0","0","0","0","0","2","0","5"
"PROVISIONAL BALLOT","2","0","0","0","0","0","1","0","3","0","MAIL VERIFICATION (NVRA)","1","0","0","0","0","0","0","0","1"
"IN PERSON","12","1","0","0","0","0","2","0","15","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","792","218","6","1","6","15","608","3","1,649","355","MOVED OUT OF STATE","162","85","0","0","12","0","88","5","352"
"NVRA BY MAIL","3","0","0","0","1","0","4","0","8","2","OTHER","5","0","0","0","0","0","1","0","6"
"OTHER MEANS","86","21","0","0","3","2","39","1","152","49","VOTER REQUEST","2","2","0","0","0","0","0","0","4"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","381","175","2","0","5","3","192","3","761"
"SOCIAL SERVICES","0","0","0","0","0","0","1","0","1","0","","","","","","","","","",""
"VOLUNTEER","13","3","0","0","0","0","2","0","18","0","","","","","","","","","",""
"TOTAL","1,212","316","11","1","16","19","795","9","2,379","605","TOTAL","889","423","5","0","28","7","377","14","1,743"
