"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","0","0","0","0","0","0","0","3","2","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","126","137","1","2","0","9","82","0","357","46","COUNTY TRANSFER - OUT","209","142","2","1","0","3","120","0","477"
"DESIGNATED STATE AGENCIES","3","1","0","0","0","0","0","0","4","2","CRIMINAL CONVICTION","1","1","0","0","0","0","0","0","2"
"ELDERLY / DISABLED","1","1","0","0","0","0","0","0","2","0","DEATH NOTICE","0","5","0","0","0","0","2","0","7"
"FROM ANOTHER BOARD","4","5","0","0","0","0","3","0","12","7","DUPLICATE","4","1","0","0","0","0","0","0","5"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","3","4","0","0","0","0","1","0","8","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","1","0","1"
"MOTOR VEHICLE ADMINISTRATION","382","286","0","0","0","8","345","3","1,024","159","MOVED OUT OF STATE","38","40","0","0","0","1","27","0","106"
"NVRA BY MAIL","17","7","0","0","0","0","20","0","44","4","OTHER","3","1","0","0","0","0","1","0","5"
"OTHER MEANS","6","11","0","0","0","0","8","0","25","21","VOTER REQUEST","0","0","0","0","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","1","0","0","0","0","0","0","2"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","1","1","0","0","0","0","0","0","2","0","","","","","","","","","",""
"TOTAL","547","453","1","2","0","17","459","3","1,482","243","TOTAL","256","191","2","1","0","4","152","0","606"
