"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","7","0","0","0","0","0","1","0","8","1","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","12","7","1","0","0","0","5","0","25","24","COUNTY TRANSFER - OUT","26","21","0","0","2","0","8","1","58"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","4","4","0","0","0","0","0","0","8"
"FROM ANOTHER BOARD","1","1","0","0","0","0","1","0","3","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","2","3","0","0","0","0","0","0","5","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","1","0","1"
"MOTOR VEHICLE ADMINISTRATION","60","64","1","0","0","1","29","8","163","28","MOVED OUT OF STATE","1","4","0","0","0","0","2","0","7"
"NVRA BY MAIL","4","0","0","0","0","0","0","0","4","0","OTHER","2","1","0","0","0","0","0","0","3"
"OTHER MEANS","1","2","0","0","0","0","0","0","3","1","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","2","1","0","0","0","0","1","0","4","1","","","","","","","","","",""
"VOLUNTEER","2","1","0","0","0","0","1","0","4","0","","","","","","","","","",""
"TOTAL","91","79","2","0","0","1","38","8","219","55","TOTAL","33","30","0","0","2","0","11","1","77"
