"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","10","0","0","0","0","0","1","0","11","1","BOARD ACTION","3","0","0","0","0","0","2","0","5"
"BY MAIL","186","59","2","0","5","1","84","2","339","102","COUNTY TRANSFER - OUT","862","165","9","0","2","3","199","9","1,249"
"DESIGNATED STATE AGENCIES","4","1","0","0","0","0","1","0","6","0","CRIMINAL CONVICTION","18","4","1","0","0","0","0","0","23"
"ELDERLY / DISABLED","8","1","0","0","0","0","0","0","9","0","DEATH NOTICE","218","28","0","0","0","0","11","0","257"
"FROM ANOTHER BOARD","0","1","0","0","0","0","0","0","1","0","DUPLICATE","13","3","0","0","0","0","0","0","16"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","6","1","0","0","0","0","0","0","7","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","635","135","3","1","5","7","295","4","1,085","175","MOVED OUT OF STATE","129","29","0","0","0","1","49","0","208"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","2","0","0","0","0","0","1","0","3"
"OTHER MEANS","15","2","1","0","0","0","2","0","20","16","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","12","0","1","0","13"
"SOCIAL SERVICES","3","1","0","0","0","1","5","0","10","1","","","","","","","","","",""
"VOLUNTEER","3","3","0","0","0","0","0","0","6","0","","","","","","","","","",""
"TOTAL","870","204","6","1","10","9","388","6","1,494","296","TOTAL","1,245","229","10","0","14","4","263","9","1,774"
