"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","11","9","0","0","0","0","1","0","21","3","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","263","140","3","0","1","3","107","7","524","13","COUNTY TRANSFER-OUT","406","193","2","0","19","2","118","13","753"
"DESIGNATED STATE AGENCIES","83","13","0","0","0","0","19","2","117","2","CRIMINAL CONVICTION","20","3","0","0","1","0","4","0","28"
"ELDERLY / DISABLED","3","0","0","0","0","0","0","0","3","0","DEATH NOTICE","246","85","0","0","1","0","12","3","347"
"FROM ANOTHER BOARD","2","2","0","0","0","0","2","0","6","2","DUPLICATE","2","3","0","0","0","0","0","0","5"
"PROVISIONAL BALLOT","0","0","0","0","0","0","1","0","1","2","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","12","3","0","0","0","0","4","0","19","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","818","368","7","0","0","12","436","8","1,649","55","MOVED OUT OF STATE","55","37","0","0","4","1","15","0","112"
"NVRA BY MAIL","46","50","2","1","0","0","39","1","139","2","OTHER","7","2","0","0","0","0","0","0","9"
"OTHER MEANS","351","55","5","0","3","2","81","3","500","249","VOTER REQUEST","0","1","0","0","0","0","2","0","3"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","0","0","1"
"SOCIAL SERVICES","2","0","0","0","0","0","1","0","3","1","","","","","","","","","",""
"VOLUNTEER","64","13","0","0","0","0","6","1","84","0","","","","","","","","","",""
"TOTAL","1,655","653","17","1","4","17","697","22","3,066","330","TOTAL","737","324","2","0","25","3","151","16","1,258"
