"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","","","",""
"","DEM","REP","NLM","LIB","GRN","UNAF","OTH","TOTAL","DUPS","","DEM","REP","NLM","LIB","","GRN UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1066","288","6","13","3","397","10","1,783","105","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","1130","463","20","12","6","548","21","2,200","379","CONFIRMATION MAIL","4","2","0","0","0","0","0","6"
"DESIGNATED STATE AGENCIES","295","94","1","1","1","185","7","584","61","COUNTY TRANSFER - OUT","7,806","2,329","24","90","25","3,298","154","13,726"
"ELDERLY / DISABLED / SOC SEC","2217","465","35","13","7","840","32","3,609","15","CRIMINAL CONVICTION","10","3","0","0","0","3","0","16"
"ERIC REPORT","609","183","0","8","0","271","10","1,081","1","DEATH NOTICE","1,639","814","0","7","5","352","35","2,852"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","121","42","0","3","0","43","7","216"
"PROVISIONAL BALLOT","1780","673","7","15","7","610","22","3,114","976","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","363","163","1","4","0","140","3","674","30","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","5066","2026","189","73","4","3428","124","10,910","222","MOVED OUT OF STATE","478","174","0","3","1","200","5","861"
"NVRA BY MAIL","103","65","1","1","0","53","0","223","31","OTHER","86","31","0","0","0","51","0","168"
"ONLINE REGISTRATION","6164","3237","204","71","54","4199","90","14,019","10","VOTER REQUEST","335","134","0","3","0","136","8","616"
"OTHER MEANS","448","105","10","2","2","227","7","801","105","","","","","","","","",""
"RECRUITING","5","0","0","0","0","0","0","0","0","","","","","","","","",""
"SAME DAY REGISTRATION","3116","2205","28","23","16","1581","50","7,019","8","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","536","87","23","5","2","215","16","884","0","","","","","","","","",""
"TOTAL","22,898","10,054","525","241","102","12,694","392","46,901","1,943","TOTAL","10,479","3,529","24","106","31","4,083","209","18,461"
