"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","0","0","0","0","2","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","53","39","0","0","2","2","20","1","117","1","COUNTY TRANSFER - OUT","172","131","2","0","1","2","89","1","398"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","1","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","15","13","0","0","0","0","0","0","28"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","220","234","1","0","0","4","99","7","565","0","MAIL VERIFICATION (NVRA)","5","2","0","0","0","0","2","0","9"
"IN PERSON","5","7","0","0","1","0","4","0","17","4","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","104","93","2","0","4","7","90","2","302","0","MOVED OUT OF STATE","12","24","0","0","0","0","7","0","43"
"NVRA BY MAIL","10","6","0","0","0","0","8","0","24","1","OTHER","1","1","0","0","0","0","1","0","3"
"OTHER MEANS","7","3","0","0","0","0","5","0","15","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","73","41","0","0","2","2","28","1","147"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","400","383","3","0","7","13","226","10","1,042","6","TOTAL","278","212","2","0","3","4","128","2","629"
