"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","1","0","1","26","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","93","55","0","0","7","0","41","0","196","48","COUNTY TRANSFER - OUT","249","180","8","0","1","4","167","0","609"
"DESIGNATED STATE AGENCIES","3","2","0","0","0","0","1","1","7","0","CRIMINAL CONVICTION","0","0","0","0","0","0","1","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","2","DEATH NOTICE","1","0","0","0","0","0","0","0","1"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","1","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","639","352","4","0","15","11","269","5","1,295","621","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","7","8","0","0","0","0","8","0","23","15","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","46","21","0","0","0","1","24","1","93","57","MOVED OUT OF STATE","0","0","0","0","0","0","0","0","0"
"NVRA BY MAIL","3","1","0","0","0","0","3","0","7","1","OTHER","2","4","0","0","0","0","2","0","8"
"OTHER MEANS","10","7","0","0","1","0","0","0","18","18","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","0","0","0","0","0","0","0","1","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","1","","","","","","","","","",""
"TOTAL","802","446","4","0","23","12","347","7","1,641","790","TOTAL","252","184","8","0","1","4","170","0","619"
