"Worcester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","5","5","0","0","0","0","0","0","10","1","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","85","78","1","0","3","3","33","5","208","7","COUNTY TRANSFER - OUT","39","40","1","0","0","1","18","3","102"
"DESIGNATED STATE AGENCIES","5","9","0","0","0","0","4","0","18","5","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","1","0","0","0","0","0","0","0","1","0","DEATH NOTICE","0","0","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","2","4","0","0","0","0","0","0","6","1","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","5","8","0","0","0","3","0","16","0","MENTAL INCOMPETENCY","0","1","0","0","0","0","1","0","2"
"MOTOR VEHICLE ADMINISTRATION","84","63","1","0","0","1","44","0","193","35","MOVED OUT OF STATE","14","11","0","0","0","0","3","2","30"
"NVRA BY MAIL","5","8","0","0","0","0","4","0","17","0","OTHER","3","1","0","0","0","0","1","0","5"
"OTHER MEANS","5","2","0","0","0","0","0","0","7","1","VOTER REQUEST","2","0","0","0","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","9","3","0","0","0","1","2","2","17"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","4","0","0","0","0","0","0","4","0","","","","","","","","","",""
"TOTAL","192","178","10","0","3","4","88","5","480","50","TOTAL","67","56","1","0","0","2","25","7","158"
