"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","21","10","0","0","1","0","14","1","47","5","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","1,010","328","2","0","11","6","433","28","1,818","26","COUNTY TRANSFER - OUT","465","215","3","0","0","2","207","9","901"
"DESIGNATED STATE AGENCIES","3","1","0","0","0","0","1","0","5","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","53","16","0","0","0","0","6","1","76"
"FROM ANOTHER BOARD","28","12","0","0","0","0","7","1","48","0","DUPLICATE","12","3","0","0","0","0","3","0","18"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","1","2","0","MAIL VERIFICATION (NVRA)","45","17","0","0","0","0","18","2","82"
"IN PERSON","93","16","1","0","1","1","23","1","136","1","MENTAL INCOMPETENCY","1","0","0","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","472","181","3","0","1","2","258","12","929","34","MOVED OUT OF STATE","84","56","0","0","0","2","44","5","191"
"NVRA BY MAIL","145","38","1","0","0","1","63","2","250","4","OTHER","17","4","0","0","0","0","11","1","33"
"OTHER MEANS","46","9","0","0","0","1","11","1","68","3","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","3","0","4"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","27","15","0","0","1","0","20","1","64","0","","","","","","","","","",""
"TOTAL","1,846","610","7","0","15","11","830","48","3,367","73","TOTAL","678","311","3","0","0","4","292","18","1,306"
