"Cecil","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","3","0","3","0","8","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","122","107","2","1","2","0","97","8","339","9","COUNTY TRANSFER - OUT","45","29","0","0","0","2","16","2","94"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","5","0","0","0","0","0","0","0","5"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","34","14","0","0","0","0","3","3","54"
"FROM ANOTHER BOARD","0","1","0","0","0","0","1","0","2","0","DUPLICATE","0","1","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","5","1","0","0","0","0","1","0","7","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","139","99","1","0","4","4","97","3","347","27","MOVED OUT OF STATE","11","11","0","0","0","1","4","1","28"
"NVRA BY MAIL","0","0","0","0","0","0","1","0","1","0","OTHER","2","2","0","0","0","0","2","0","6"
"OTHER MEANS","0","1","0","0","0","0","1","0","2","1","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","3","0","0","0","0","0","0","6"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","267","210","3","1","9","4","201","11","706","37","TOTAL","100","60","0","0","0","3","25","6","194"
