"","","","","","","","","","","","","","","","","",""
"","SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","2","0","0","0","0","0","2","11","BOARD ACTION","0","0","0","0","1","0","1"
"","BY MAIL","378","128","2","3","142","5","658","151","CONFIRMATION MAIL","3","5","0","0","0","0","8"
"","DESIGNATED STATE AGENCIES","347","78","6","6","157","10","604","212","COUNTY TRANSFER - OUT","2,227","865","18","42","741","30","3,923"
"","ELDERLY / DISABLED / SOC SEC","401","100","1","4","191","3","700","3","CRIMINAL CONVICTION","127","22","1","2","31","2","185"
"","ERIC REPORT","63","41","0","0","27","3","134","12","DEATH NOTICE","1,823","828","0","2","245","33","2,931"
"","FROM ANOTHER BOARD","20","4","0","0","1","1","26","12","DUPLICATE","48","18","1","0","14","3","84"
"","PROVISIONAL BALLOT","12","4","1","0","0","0","17","1","MAIL VERIFICATION (NVRA)","10,390","5,071","63","179","4,560","130","20,393"
"","IN PERSON","28","7","0","0","10","0","45","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","4362","2220","28","112","2704","57","9,483","705","MOVED OUT OF STATE","436","406","6","9","191","8","1,056"
"","NVRA BY MAIL","8","7","0","0","2","0","17","5","OTHER","22","9","0","0","18","2","51"
"","ONLINE REGISTRATION","340","107","7","10","131","5","600","18","VOTER REQUEST","6","6","0","0","5","0","17"
"","OTHER MEANS","50","17","0","0","27","1","95","166","","","","","","","",""
"","RECRUITING","1","0","0","0","0","0","1","0","","","","","","","",""
"","SOCIAL SERVICES","1","2","0","0","4","0","7","4","","","","","","","",""
"","VOLUNTEER","11","2","0","1","5","0","19","0","","","","","","","",""
"","TOTAL","6,024","2,717","45","136","3,401","85","12,408","1,302","TOTAL","15,082","7,230","89","234","5,806","208","28,649"
